Text,Label
"Your UPI payment of Rs 250 was successful at grocery store","Safe Message"
"Payment received from Rahul through UPI transaction id AXI12345","Safe Message"
"Aapka payment successful ho gaya hai dhanyavaad","Safe Message"
"Your bank KYC will be blocked today click link and pay Rs 10","KYC Scam"
"Aapka KYC band ho jayega turant link open kare","KYC Scam"
"Update KYC now otherwise account blocked within 24 hours","KYC Scam"
"Dear customer complete bank KYC at http://bank-kyc-verify.com","KYC Scam"
"Congratulations you won Rs 5000 cashback share UPI PIN","Reward Scam"
"Aapko reward mila hai claim karne ke liye OTP bhejo","Reward Scam"
"Lucky winner claim free gift and pay processing fee","Reward Scam"
"Share OTP to receive refund","OTP/UPI PIN Scam"
"Enter UPI PIN to accept cashback payment","OTP/UPI PIN Scam"
"OTP batao refund turant milega","OTP/UPI PIN Scam"
"You are under digital arrest transfer money now","Digital Arrest Scam"
"Police case avoid karne ke liye paisa transfer karo","Digital Arrest Scam"
"Cyber cell investigation pay fine immediately","Digital Arrest Scam"
"Call this fake customer care number for UPI refund","Fake Customer Care Scam"
"Bank support agent asks for OTP and card details","Fake Customer Care Scam"
"Customer care se bol raha hu AnyDesk install karo","Fake Customer Care Scam"
"Install AnyDesk and share screen for UPI support","Remote Access Scam"
"Download QuickSupport app and share code","Remote Access Scam"
"Screen share karke payment problem solve karenge","Remote Access Scam"
"Send Rs 499 security deposit to verify your UPI account","Suspicious Payment Request"
"Pay refundable fee now to release reward amount","Suspicious Payment Request"
"Transfer money urgently to unlock bank account","Suspicious Payment Request"
"Screenshot shows payment successful but amount not credited","Fake Payment Proof"
"Fake UTR payment proof sent on WhatsApp","Fake Payment Proof"
"Maine payment kar diya screenshot dekho goods bhejo","Fake Payment Proof"
"Your monthly bank statement is ready in official app","Safe Message"
"Reminder electricity bill due tomorrow pay through official app","Safe Message"
"UPI mandate approved for your subscription","Safe Message"
